id. Response ID	groupsInvolved[res]. In your research processes, did you actively involve one or more of the following groups(*)? [researchers from other disciplines]	groupsInvolved[busi]. In your research processes, did you actively involve one or more of the following groups(*)? [company/business representatives (incl. farmers)]	groupsInvolved[civsoc]. In your research processes, did you actively involve one or more of the following groups(*)? [representatives of NGOs, advocacy or other civil society groups]	groupsInvolved[policy]. In your research processes, did you actively involve one or more of the following groups(*)? [policy makers, public administrations, representatives from governmental agencies]	groupsInvolved[citiz]. In your research processes, did you actively involve one or more of the following groups(*)? [individual citizens (e.g. as beneficiaries, customers, or concerned persons)]	groupsInvolved[media]. In your research processes, did you actively involve one or more of the following groups(*)? [media representatives (traditional media, digital media (e.g. bloggers), journalists, community-led media, etc.)]	groupsInvolved[welfare]. In your research processes, did you actively involve one or more of the following groups(*)? [representatives from welfare- or education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	natureOfInvolvement[res]. What was the nature of involvement of those groups? [researchers from other disciplines]	natureOfInvolvement[busi]. What was the nature of involvement of those groups? [company/business representatives (incl. farmers)]	natureOfInvolvement[civsoc]. What was the nature of involvement of those groups? [ representatives of NGOs, advocacy or other civil society groups]	natureOfInvolvement[policy]. What was the nature of involvement of those groups? [ policy makers, public administrations, representatives from governmental agencies]	natureOfInvolvement[citiz]. What was the nature of involvement of those groups? [individual citizens (e.g. as beneficiaries, customers, or concerned persons)]	natureOfInvolvement[media]. What was the nature of involvement of those groups? [media representatives (traditional media, digital media (e.g. bloggers), journalists, community-led media, etc.)]	natureOfInvolvement[welfare]. What was the nature of involvement of those groups? [representatives from welfare- or education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	impactTargetGroup[pub]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [the general population]	impactTargetGroup[busi]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [businesses]	impactTargetGroup[socgr]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [specific social groups (e.g. women/men/non-binary, youth/elderly; migrants; or minorities/indigenous people)]	impactTargetGroup[welfare]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [welfare- and education-providing institutions (such as schools, kindergartens, hospitals, or care centres)]	impactTargetGroup[civsoc]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [NGOs, advocacy or other civil society groups]	impactTargetGroup[policy]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [policy-making, public administration, governmental agencies]	impactTargetGroup[acad]. To what degree has your project directly contributed to new or better services, products, processes, or ways of doing things that were targeted towards ... [academia ]	kindOfChange[pub]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [the general population]	kindOfChange[busi]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [businesses]	kindOfChange[socgr]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [specific social groups]	kindOfChange[welfare]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [welfare- and education-providing institutions]	kindOfChange[civsoc]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [NGOs, advocacy or other civil society groups]	kindOfChange[policy]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [policy-making, public administration, governmental agencies]	kindOfChange[acad]. What kind of change (short- or long-term) did your project intend to bring about in the following target groups or in the general population?     [academia]
246	only marginally	no	no	only marginally	only marginally	only marginally	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	10	4	7	9	0	4	10	changing behaviour	changing understanding	changing behaviour	changing behaviour		changing attitude	changing awareness
247	only marginally	quite centrally	no	quite centrally	only marginally	quite centrally	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		co-created (collaborative + participated in designing study and/or determining objectives)	collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)	co-created (collaborative + participated in designing study and/or determining objectives)	8	8	6	7	0	9	9	changing behaviour	changing behaviour	changing behaviour	changing behaviour		changing behaviour	other
248	quite centrally	no	no	no	no	no	quite centrally	collaborative (contributory + interpreting data and/or drawing conclusions)							10	5	0	0	0	0	10	changing awareness	changing understanding					changing understanding
249	only marginally	no	no	no	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)					contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		0	0	0	1	0	0	9							changing understanding
250	only marginally	no	quite centrally	quite centrally	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)		consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)				0	0	0	0	0	0	0							
251	quite centrally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							1	1	1	1	1	1	8							changing understanding
252	only marginally	only marginally	no	no	no	no	only marginally	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)					consultative (provide information via interviews, online questionnaires, etc.)	0	0	0	1	0	0	8							changing awareness
253	no	no	no	no	no	only marginally	no						consultative (provide information via interviews, online questionnaires, etc.)		0	0	0	0	0	0	10							changing understanding
254	only marginally	no	no	no	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)					collaborative (contributory + interpreting data and/or drawing conclusions)		0	0	0	0	0	0	0							
255	quite centrally	no	no	only marginally	no	no	quite centrally	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			consultative (provide information via interviews, online questionnaires, etc.)			collaborative (contributory + interpreting data and/or drawing conclusions)		0	5	5	0	2	8			other	changing understanding			changing understanding
256	quite centrally	no	only marginally	no	only marginally	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			3	0	1	0	2	0	8	changing awareness						changing understanding
257	quite centrally	only marginally	no	no	no	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)				consultative (provide information via interviews, online questionnaires, etc.)		1	3	0	0	0	0	10		changing understanding					changing understanding
259	quite centrally	only marginally	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)						5	5	0	0	0	3	10	changing awareness	changing awareness				changing attitude	changing awareness
261	quite centrally	no	no	only marginally	no	only marginally	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	2	2	2	1	0	5	10						changing awareness	changing understanding
263	only marginally	no	no	no	only marginally	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)				consultative (provide information via interviews, online questionnaires, etc.)			0	2	0	0	0	0	10							changing understanding
264	quite centrally	quite centrally	quite centrally		only marginally			co-created (collaborative + participated in designing study and/or determining objectives)	collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)		collaborative (contributory + interpreting data and/or drawing conclusions)								5							changing awareness	
265	only marginally	no	no	no	only marginally	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)				contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			7	7	0	7	5	5	10	changing understanding	changing understanding		changing understanding	changing understanding	changing understanding	changing understanding
266	quite centrally	quite centrally	no	no	only marginally	only marginally	only marginally	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)			consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	7	7	0	7	0	0	7	changing understanding	other		changing understanding			changing understanding
267	quite centrally	no	only marginally	only marginally	only marginally	no	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)		consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	3	0	5	5	5	5	8	changing understanding		changing understanding	changing understanding	changing understanding	changing understanding	changing understanding
268	only marginally	no	no	only marginally	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				0	7	0	0	0	0	5		changing understanding					changing understanding
269	only marginally	no	no	no	quite centrally	no	quite centrally	consultative (provide information via interviews, online questionnaires, etc.)						collaborative (contributory + interpreting data and/or drawing conclusions)	0	0	0	2	0	0	3							changing understanding
270	only marginally	only marginally	only marginally	only marginally	no	only marginally	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)							3	0	5	1	5	10		changing understanding		changing understanding		changing awareness	changing understanding
271	quite centrally	no	no	quite centrally	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		0	0	0	0	0	6	8						changing attitude	changing understanding
272	quite centrally	quite centrally	no	quite centrally	quite centrally	quite centrally	quite centrally	co-created (collaborative + participated in designing study and/or determining objectives)	co-created (collaborative + participated in designing study and/or determining objectives)		co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	8	8		8		10	10	changing understanding			changing understanding		changing understanding	changing understanding
273	no	no	only marginally	quite centrally	no	no	no			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				1	1	1	0	10	10	10					changing awareness	changing behaviour	changing awareness
274	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	6							changing understanding
275	quite centrally	only marginally	no	no	only marginally	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)	consultative (provide information via interviews, online questionnaires, etc.)			contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		8	1	5	2	2	5	7	changing attitude		changing attitude			changing attitude	changing behaviour
276	only marginally	no	no	no	no	only marginally	no	consultative (provide information via interviews, online questionnaires, etc.)					contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		1	0	1	0	0	2	3							changing understanding
277	quite centrally	no	only marginally	quite centrally	quite centrally	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			6	0	6	1	0	8	8	changing awareness		changing awareness			changing behaviour	changing behaviour
278	quite centrally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	2	2	0	0	2							
279	no	no	no	no	no	no	no								7	5	0	0	0	0	0	changing awareness	changing attitude					
280	only marginally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							8	2	2	1	1	1	8	changing understanding						changing understanding
281	quite centrally	quite centrally	no	only marginally	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		1	3	0	0	1	3	10		changing attitude				changing awareness	changing understanding
282	only marginally	no	no	no	only marginally	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)				consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		0	0	1	4	0	0	10				changing understanding			changing understanding
283	no	no	no	no	no	no	no								2		0	0	0	0	8							changing understanding
285	quite centrally	no	quite centrally	only marginally	quite centrally	only marginally	quite centrally	collaborative (contributory + interpreting data and/or drawing conclusions)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)	10	5	0	10	0	10	10	changing understanding	other		changing understanding		changing understanding	changing understanding
286	no	only marginally	no	no	only marginally	no	no		consultative (provide information via interviews, online questionnaires, etc.)			consultative (provide information via interviews, online questionnaires, etc.)			0	0	0	0	0	1	4							changing attitude
287	quite centrally	quite centrally	no	no	no	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)	collaborative (contributory + interpreting data and/or drawing conclusions)				consultative (provide information via interviews, online questionnaires, etc.)		10	10	0	0	0	0	8	other	changing behaviour					changing understanding
288	no	quite centrally	no	no	no	only marginally	no								3	4	6	1	0	0	6	changing understanding	changing understanding	changing understanding				changing understanding
289	quite centrally	no	only marginally	only marginally	quite centrally	only marginally	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	8	2	9	10	7	7	10	changing awareness		changing attitude	changing attitude	changing awareness	changing awareness	changing understanding
290	quite centrally	no	only marginally	only marginally	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)		consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)				5	0	5	2	10	0	0	changing awareness		changing attitude		changing behaviour		
291	quite centrally			quite centrally			quite centrally	collaborative (contributory + interpreting data and/or drawing conclusions)			consultative (provide information via interviews, online questionnaires, etc.)			consultative (provide information via interviews, online questionnaires, etc.)	5	0	9	8	0	8	9	changing understanding		changing awareness	changing behaviour		changing understanding	other
293	only marginally	no	no	only marginally	quite centrally	quite centrally	quite centrally	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)	co-created (collaborative + participated in designing study and/or determining objectives)	6	0	6	6	3	3	8	changing understanding		changing behaviour	changing behaviour	changing behaviour	changing behaviour	changing understanding
294	quite centrally	no	only marginally	quite centrally	quite centrally	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		6	2	7	8	7	9	9	changing awareness		changing attitude	changing behaviour	changing behaviour	changing behaviour	changing attitude
295	no	only marginally	no	no	no	no	no		consultative (provide information via interviews, online questionnaires, etc.)						3	3	0	4	0	0	7	changing understanding	changing understanding					changing understanding
296	quite centrally	no	no	no	only marginally	only marginally	only marginally	co-created (collaborative + participated in designing study and/or determining objectives)				consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	5	7	0	6	0	0	10	changing understanding	changing awareness		changing understanding			changing understanding
297	only marginally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							1	3	0	1	0	0	4		changing awareness					changing awareness
298	quite centrally	no	no	only marginally	only marginally	only marginally	quite centrally	co-created (collaborative + participated in designing study and/or determining objectives)			consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)	6	0	8	7	0	2	10	changing understanding		changing awareness	changing attitude			changing behaviour
299	only marginally	no	no	no	only marginally	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		3	1	6	4	1	2	10	changing understanding		changing understanding	changing understanding			changing understanding
301	no	quite centrally	no	quite centrally	no	no	quite centrally		collaborative (contributory + interpreting data and/or drawing conclusions)		collaborative (contributory + interpreting data and/or drawing conclusions)			consultative (provide information via interviews, online questionnaires, etc.)	8	1	1	7	1	8	8	changing awareness			changing understanding		changing behaviour	changing understanding
302	only marginally	no	no	only marginally	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		7	3	1	1	1	1	7	changing understanding	changing awareness					changing understanding
303	only marginally	no	no	no	no	no	only marginally	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)						consultative (provide information via interviews, online questionnaires, etc.)														
304	no	no	no	no	no	no	no								0	1	0	0	0	0	10							changing understanding
305	only marginally	no	no	only marginally	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)			collaborative (contributory + interpreting data and/or drawing conclusions)				10	10	0	0	0	10	10	changing understanding	changing behaviour				changing behaviour	changing behaviour
306	quite centrally	no	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)					consultative (provide information via interviews, online questionnaires, etc.)		3	0	0	4	0	0	10	changing attitude			changing attitude			changing understanding
307	no	no	no	no	quite centrally	no	only marginally					contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	0	0	3	4	0	0	4			changing awareness	changing awareness			changing understanding
309	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	7							other
311	no	no	no	no	no	only marginally	no						consultative (provide information via interviews, online questionnaires, etc.)		1	1	1	1	1	1	7							other
312	only marginally	no	no	no	only marginally	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)				consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)		1	0	2	0	0	0	6							changing understanding
313	only marginally	no	no	no	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)					consultative (provide information via interviews, online questionnaires, etc.)		0	0	0	0	0	0	0							
314	only marginally	only marginally	no	no	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)				consultative (provide information via interviews, online questionnaires, etc.)		2	3	0	0	0	0	10		changing awareness					changing understanding
315	only marginally	only marginally						collaborative (contributory + interpreting data and/or drawing conclusions)	collaborative (contributory + interpreting data and/or drawing conclusions)						0	0	0	0	0	0	5							changing understanding
316	quite centrally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							0	0	0	0	0	0	0							
317	no	no	no	no	no	no	no								0	0	0	0	0	0	0							
318	only marginally	no	only marginally	no	quite centrally	no	quite centrally	consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		co-created (collaborative + participated in designing study and/or determining objectives)		co-created (collaborative + participated in designing study and/or determining objectives)	9	9	10	10	9	8	9	changing attitude	changing behaviour	changing behaviour	changing behaviour	changing behaviour	changing behaviour	changing awareness
319	only marginally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							2	8	0	0	0	0	10		changing understanding					changing understanding
321	no	no	no	no	no	no	no								0	0	0	0	0	0	10							changing understanding
322	no	no	no	no	no	no	no								0	0	0	0	0	0	8							changing understanding
323	only marginally	no	only marginally	no	only marginally	no	only marginally	consultative (provide information via interviews, online questionnaires, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	0	0	8	0	2	2	7			changing understanding				changing understanding
324	no	no	no	no	no	no	no								5	5	0	0	0	0	7	changing understanding	changing attitude					changing understanding
325	only marginally	no	no	only marginally		only marginally	no	consultative (provide information via interviews, online questionnaires, etc.)			consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		5					5	8	changing understanding					changing awareness	changing understanding
328	quite centrally	no	no	no	quite centrally	only marginally	quite centrally	collaborative (contributory + interpreting data and/or drawing conclusions)					contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	co-created (collaborative + participated in designing study and/or determining objectives)	10	0	0	9	10	9	6	changing understanding			changing awareness	changing behaviour	changing awareness	changing understanding
329	quite centrally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	6	0	0	0	0	10		changing awareness					changing understanding
331	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							2	0	0	0	0	3	8						changing understanding	changing understanding
332	quite centrally	quite centrally	only marginally	no	quite centrally	only marginally	quite centrally	co-created (collaborative + participated in designing study and/or determining objectives)	co-created (collaborative + participated in designing study and/or determining objectives)	consultative (provide information via interviews, online questionnaires, etc.)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)	10	10	8	8	3	7	9	changing behaviour	changing attitude	changing understanding	changing awareness	changing awareness	changing awareness	changing behaviour
333	no	no	no	no	no	no	no								0	2	0	0	0	0	0							
334	no	no	no	no	no	no	no								0	10	0	0	0	0	10		changing understanding					changing understanding
335	only marginally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							0	0	0	0	0	0	10							changing understanding
337	quite centrally	only marginally	only marginally	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	consultative (provide information via interviews, online questionnaires, etc.)					7	4	7	2			10	changing attitude	changing attitude	changing attitude				changing attitude
338	quite centrally	no	no	only marginally	only marginally	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)			consultative (provide information via interviews, online questionnaires, etc.)		consultative (provide information via interviews, online questionnaires, etc.)		6	7	0	0	3	4	7	changing understanding	changing awareness			changing understanding	changing awareness	changing attitude
339	no	no	no	no	no	only marginally	no						contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		1	1	0	0	0	0	5							changing understanding
341	no	no	no	no	no	no	no								0	0	0	0	0	0	10							changing understanding
342	quite centrally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							8	0	0	7	0	7	8	changing awareness			changing awareness		changing behaviour	changing behaviour
343	quite centrally	quite centrally	no	only marginally	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		consultative (provide information via interviews, online questionnaires, etc.)				10	10	0	0	1	10	10	changing understanding	changing behaviour				changing awareness	changing understanding
344	quite centrally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	10							changing understanding
345	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							10	0	0	1	0	0	10	changing attitude						changing understanding
346	only marginally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							8	0	0	0	5	8	8	changing behaviour				changing behaviour	changing behaviour	changing understanding
347	no	no	no	no	no	no	no								4	1	0	0	0	0	9							changing understanding
348	quite centrally	no	no	no	only marginally	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)				contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	collaborative (contributory + interpreting data and/or drawing conclusions)		6	8	1	1	1	2	8	changing awareness	changing awareness					changing awareness
349	quite centrally	no	no	no	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)							0	10	0	0	0	0	5		changing behaviour					changing awareness
350	quite centrally	no	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)					consultative (provide information via interviews, online questionnaires, etc.)		8	0	4	0	0	0	10	changing understanding		changing understanding				changing understanding
351	only marginally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							0	0	0	0	0	0	5							changing understanding
352	only marginally	no	no	no	no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)							6	4	2	6			8	changing understanding						changing understanding
353	quite centrally	only marginally	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		3	5	0	0	0	0	10	other	other					other
356	no	no	no	no	no	no	no								0	0	0	0	0	0	10							changing understanding
357	quite centrally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							0	0	0	0	0	0	5							changing understanding
358	only marginally	only marginally	no	no	no	no	only marginally	collaborative (contributory + interpreting data and/or drawing conclusions)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)					contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	8	1	0	0	0	0	10	changing understanding						changing understanding
359	quite centrally		only marginally	only marginally	only marginally	only marginally	no	co-created (collaborative + participated in designing study and/or determining objectives)		contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	consultative (provide information via interviews, online questionnaires, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)		9	2	8	8	8	9	9	changing understanding		changing understanding			changing awareness	changing understanding
360	quite centrally	only marginally	no	no	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)				consultative (provide information via interviews, online questionnaires, etc.)		10	10	0	10	0	10	10	changing awareness	changing awareness		changing awareness		changing awareness	changing awareness
361	only marginally	no	no	only marginally	no	no	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)			consultative (provide information via interviews, online questionnaires, etc.)				8	2	0	8	0	4	8	changing understanding			changing understanding		changing understanding	changing understanding
362	only marginally	no	no	no	no	only marginally	no	contributory (consultative + contributing through collecting data, validating data, disseminating results, etc.)					consultative (provide information via interviews, online questionnaires, etc.)		4	0	4	4	0	0	8	changing understanding			changing understanding			changing understanding
363	no	no	no	quite centrally	no	no	no				co-created (collaborative + participated in designing study and/or determining objectives)				2	1	2	2	2	7	6						changing understanding	changing understanding
364	only marginally	no	no	no	no	no	no	consultative (provide information via interviews, online questionnaires, etc.)							0	0	0	0	0	0	10							
365	quite centrally	quite centrally	no		no	no	no	co-created (collaborative + participated in designing study and/or determining objectives)	co-created (collaborative + participated in designing study and/or determining objectives)						3	5	3	2	0	0	8	changing understanding	changing understanding	changing understanding				changing behaviour
366	quite centrally	no	no	no	no	only marginally	no	collaborative (contributory + interpreting data and/or drawing conclusions)					consultative (provide information via interviews, online questionnaires, etc.)		4	4	0	0	0	0	8	changing awareness	changing awareness					changing understanding
367	quite centrally	no	no	no	quite centrally	no		collaborative (contributory + interpreting data and/or drawing conclusions)				collaborative (contributory + interpreting data and/or drawing conclusions)			0	0	0	8	0	8	0						changing understanding	
368	only marginally	no	no	no	no	no	no	collaborative (contributory + interpreting data and/or drawing conclusions)							4	0	4	4	0	0	4	changing understanding		changing behaviour	changing attitude			changing awareness
